ProductName,Qty,Unit_Price,SaleDate,CurrencyType,CustomerID,StoreID
Smith Paper,3,10.5,7/13/2024,OMR,9ca482a2-0356-49c1-b5e3-88ae98d1cc2f,Store_A
Johnson Screen,,,2/23/2025,Usd,c0b9df4e-8f03-4bf0-a31b-0a7d7c2a8907,Store_A
Roberts Ingredient,3,30,11/13/2024,USD,97dc18e3-2c12-4e26-9863-32514e82e822,Store_A
White Monitor,,10.5,4/16/2025,USD,e4d09733-d496-47b3-a4b5-04de84d8fd06,Store_A
Rodriguez Keyboard,2,20,8/3/2024,usd,435ecb46-4545-4af7-b72c-119f64d193a5,Store_A
Smith Bag,,30,1/24/2025,USD,918d3b6c-c8bc-4bb9-9789-319b8f7f1d10,Store_A
Young Printer,,20,10/11/2024,,722ce28c-e0ef-47f2-a3cc-91d1372bebaf,Store_A
Jackson Cable,3,10.5,3/4/2025,Usd,6ed6e2b1-3a9c-42c4-a493-1e177948a9fc,Store_A
Anderson Lamp,3,30,5/14/2025,,d9966648-3b63-487c-9011-d52513c114d7,Store_A
Hall Cup,3,15.75,9/29/2024,USD,85746df4-64ad-49ac-88a4-a582cc382075,Store_A
Williams Bottle,,,2/6/2025,OMR,691df20b-7bb8-4a7b-8a4b-07a997a311fa,Store_A
Moore Chair,3,30,8/12/2024,OMR,0822d2d7-9454-4aa3-95bc-b869d6957852,Store_A
Taylor Table,1,10.5,6/22/2024,usd,7f18df12-a14a-45a4-8ede-68137fa2ff57,Store_A
Martin Charger,1,15.75,8/5/2024,,d9eac4d1-730d-422d-943b-fde6eacacf3c,Store_A
Lee Clock,3,,2/25/2025,Usd,,Store_A
Walker Camera,2,30,6/19/2024,USD,b5f4c6c3-2c44-4952-af29-a830ae5207d5,Store_A
Allen Notebook,3,20,4/7/2025,usd,5ce3e057-5846-41b1-9d5a-7f56f8aa778b,Store_A
Harris Pen,3,15.75,2/19/2025,Usd,fe6e6f78-bdc3-4deb-a6a2-5f9cd36d2484,Store_A
Clark Glass,1,30,3/6/2025,OMR,55eb5681-5dca-4690-991c-378a0119f76b,Store_A
Lewis Ruler,,15.75,2/21/2025,,10f25bba-5c31-4c70-b065-e050a9b6803a,Store_A
Robinson Shelf,,,5/11/2025,usd,ab320db6-c693-4d4f-9186-0c95cf801c15,Store_A
Hill Phone,3,30,4/3/2025,usd,90fbe81f-ec15-4681-9a0c-9b311cca8220,Store_A
Scott Plate,1,20,1/16/2025,,3ec28f56-6bb9-4553-bdcc-07b13c1b305f,Store_A
Adams Brush,3,20,8/12/2024,USD,ec763343-23d2-4cda-a7b9-2c1732c67506,Store_A
Green Folder,2,30,3/3/2025,,546ef9ad-fc0e-4f4e-af6e-d78188f6373e,Store_A
Baker Speaker,,20,11/19/2024,,,Store_A
Nelson Knife,1,10.5,3/27/2025,OMR,bd30a5b1-1830-436d-8552-7aeb9f333595,Store_A
Carter Fan,,30,6/29/2024,OMR,feaeae49-e208-4b0b-a4ee-88ab5eb6a7c5,Store_A
Mitchell Frame,3,10.5,11/18/2024,OMR,1a26ed92-27bd-4be2-8386-45682bfc37f5,Store_A
Perez Board,2,15.75,10/26/2024,Usd,c60710bc-5981-4da9-8b7c-c867f251e34b,Store_A
Roberts Pen,2,10.5,1/15/2025,usd,de1309c3-53d9-44d3-90a6-8417994fe287,Store_A
Phillips Hook,2,30,6/16/2024,USD,,Store_A
Evans Tape,1,30,4/19/2025,OMR,74b4076b-51e3-4ee8-a997-424a9550c915,Store_A
Turner Pad,3,,9/25/2024,usd,1b96902d-270f-44ad-8e0c-b401104aaadb,Store_A
Torres Stand,1,30,2/20/2025,OMR,89a7e081-4883-437a-9cbb-0692e6d6d7eb,Store_A
Parker Cable,3,10.5,5/23/2025,USD,b92c4eef-340c-48fb-a51e-5dc77c7e53a1,Store_A
Collins Rug,3,10.5,10/10/2024,,8a92685f-22de-4bde-8abb-48b670e75e56,Store_A
Edwards Mixer,3,15.75,12/29/2024,usd,,Store_A
Stewart Mouse,2,,2/22/2025,,7b1e02c1-ecf9-404f-9394-ee8e66efa50c,Store_A
Sanchez Book,1,10.5,12/1/2024,,b566917e-8a4a-4066-ab75-ecee2cd0a132,Store_A
Morris Tray,2,20,2/22/2025,usd,bebe56d5-b87d-421d-a765-a5ee1fa6ca5e,Store_A
Rogers Lid,1,,3/7/2025,,2763a02b-2940-4497-931c-db0ad39455be,Store_A
Reed Rack,2,30,11/6/2024,USD,,Store_A
Cook Ball,2,20,11/30/2024,OMR,69ded101-847c-488c-99e4-438c05361804,Store_A
Morgan Stick,3,15.75,11/26/2024,Usd,0bffb839-d519-494d-8b15-9498de261bd6,Store_A
Bell Glove,1,,11/3/2024,usd,88e499a8-56da-4a23-816a-ab63e11b4fe1,Store_A
Murphy Dish,,15.75,1/7/2025,USD,90bef402-ff6a-4cf7-87b3-b5dd0fddec0a,Store_A
Bailey Drill,3,15.75,4/19/2025,Usd,e9cc4e4b-6788-454b-8194-983dc5665c81,Store_A
Rivera Block,,,6/11/2024,OMR,f22ad4ca-0ea8-44ac-a8d6-8a7d446d179b,Store_A
Cooper Knife,1,20,11/5/2024,USD,,Store_A
Richardson Nail,1,10.5,3/30/2025,,5a63a128-3213-47c8-b945-18709cc3df2b,Store_A
Cox Screw,1,30,9/1/2024,,4891ece4-fa78-4615-a06a-099bc89e573b,Store_A
Howard Can,2,20,2/20/2025,,6cec3841-9a48-4baa-84a0-08b1184ebd71,Store_A
Ward Plug,2,10.5,2/9/2025,usd,bb7cf4c5-5837-4849-a989-7dc9a07ed979,Store_A
Torres Table,1,10.5,7/20/2024,,5bbc6d30-0977-478f-b951-9f2cd98564af,Store_A
Peterson Sheet,2,20,8/3/2024,usd,fbf97e0a-dda6-4f29-8913-44dee9c7c36c,Store_A
Gray Tool,1,,11/10/2024,Usd,11444ef2-a6c9-42e9-8015-6446784d11a7,Store_A
Ramirez Bar,3,15.75,3/28/2025,USD,481e094b-2c28-48f0-81af-e1c1b319dd95,Store_A
James Grip,,,1/19/2025,usd,c6c7f26e-8cec-4766-a439-589cef4d841b,Store_A
Watson Chain,2,15.75,7/28/2024,Usd,36d9aaf8-ef33-4a3e-8d4e-e6d1634b3b13,Store_A
Brooks Cap,3,20,6/9/2024,usd,2d98daef-5cd8-44e7-aabc-154098880873,Store_A
Kelly String,3,,7/14/2024,Usd,c609daa1-65a4-40ba-ac71-06c8ea76bb1b,Store_A
